"sense"	"label"	"%"
"26992"	"636"	"100"
"26993"	"747"	"60"
"26994"	"486"	"90"
"26995"	"594"	"60"
"26997"	"595"	"90"
"26998"	"55"	"90"
"26999"	"189"	"100"
"27000"	"61"	"100"
"27001"	"61"	"90"
"27003"	"61"	"60"
"27004"	"180"	"80"
"27005"	"734"	"100"
"27006"	"734"	"60"
"27008"	"663"	"60"
"27009"	"622"	"90"
"27010"	"55"	"90"
"27011"	"506"	"60"
"27012"	"37"	"60"
"27013"	"40"	"90"
"27014"	"178"	"100"
"27015"	"61"	"100"
"27016"	"727"	"60"
"27017"	"37"	"60"
"27018"	"61"	"80"
"27019"	"165"	"60"
"27021"	"885"	"90"
"27022"	"747"	"60"
"27023"	"61"	"90"
"27024"	"738"	"100"
"27025"	"144"	"90"
"27026"	"37"	"60"
"27027"	"178"	"80"
"27028"	"152"	"90"
"27029"	"765"	"60"
"27030"	"61"	"60"
"27031"	"239"	"60"
"27032"	"165"	"100"
"27033"	"219"	"100"
"27034"	"747"	"90"
"27035"	"865"	"90"
"27036"	"49"	"90"
"27037"	"480"	"60"
"27038"	"152"	"90"
"27039"	"152"	"100"
"27040"	"63"	"60"
"27041"	"39"	"90"
"27042"	"38"	"90"
"27043"	"594"	"90"
"27044"	"178"	"80"
"27045"	"332"	"90"
"27046"	"37"	"80"
"27047"	"765"	"90"
"27048"	"369"	"90"
"27049"	"747"	"60"
"27050"	"151"	"60"
"27051"	"33"	"100"
"27052"	"486"	"100"
"27053"	"377"	"100"
"27054"	"386"	"100"
"27055"	"61"	"90"
"27056"	"61"	"60"
"27057"	"53"	"100"
"27058"	"698"	"100"
"27059"	"652"	"100"
"27060"	"413"	"100"
"27061"	"61"	"90"
"27062"	"817"	"80"
"27063"	"526"	"90"
"27064"	"719"	"60"
"27065"	"331"	"100"
"27066"	"748"	"90"
"27067"	"37"	"60"
"27068"	"61"	"60"
"27069"	"165"	"100"
"27070"	"61"	"90"
"27071"	"306"	"60"
"27072"	"165"	"80"
"27073"	"595"	"60"
"27074"	"409"	"100"
"27075"	"61"	"60"
"27076"	"152"	"60"
"27077"	"61"	"90"
"27078"	"747"	"60"
"27079"	"175"	"60"
"27080"	"146"	"60"
"27081"	"736"	"100"
"27082"	"44"	"60"
"27083"	"152"	"100"
"27084"	"729"	"100"
"27085"	"626"	"100"
"27086"	"37"	"60"
"27087"	"37"	"60"
"27088"	"165"	"60"
"27089"	"626"	"100"
"27090"	"180"	"90"
"27091"	"624"	"100"
"27092"	"725"	"90"
"27093"	"663"	"60"
"27094"	"591"	"90"
"27095"	"10"	"90"
"27096"	"37"	"60"
"27097"	"747"	"60"
"27098"	"750"	"90"
"27099"	"451"	"100"
"27100"	"303"	"60"
"27101"	"37"	"90"
"27102"	"63"	"60"
"27103"	"180"	"60"
"27104"	"303"	"60"
"27105"	"626"	"100"
"27106"	"525"	"60"
"27107"	"765"	"90"
"27108"	"37"	"60"
"27109"	"643"	"100"
"27110"	"601"	"60"
"27111"	"747"	"100"
"27112"	"303"	"60"
"27113"	"37"	"90"
"27114"	"580"	"60"
"27115"	"870"	"60"
"27116"	"303"	"60"
"27117"	"719"	"90"
"27118"	"49"	"90"
"27119"	"741"	"100"
"27120"	"30"	"60"
"27121"	"692"	"100"
"27122"	"465"	"100"
"27123"	"634"	"60"
"27124"	"236"	"60"
"27125"	"741"	"90"
"27126"	"203"	"60"
"27127"	"152"	"90"
"27128"	"554"	"60"
"27129"	"580"	"60"
"27130"	"152"	"90"
"27131"	"594"	"90"
"27132"	"221"	"100"
"27133"	"580"	"90"
"27134"	"597"	"90"
"27135"	"49"	"90"
"27136"	"303"	"60"
"27137"	"885"	"100"
"27138"	"152"	"90"
"27139"	"413"	"80"
"27140"	"754"	"90"
"27141"	"238"	"100"
"27142"	"243"	"90"
"27143"	"881"	"100"
"27144"	"27"	"90"
"27145"	"167"	"90"
"27146"	"152"	"90"
"27147"	"61"	"90"
"27148"	"225"	"100"
"27149"	"73"	"100"
"27150"	"114"	"100"
"27151"	"221"	"60"
"27152"	"679"	"60"
"27153"	"37"	"60"
"27154"	"37"	"90"
"27155"	"152"	"60"
"27156"	"151"	"90"
"27157"	"728"	"60"
"27158"	"61"	"90"
"27159"	"167"	"80"
"27160"	"601"	"60"
"27161"	"601"	"90"
"27162"	"283"	"90"
"27163"	"125"	"90"
"27164"	"34"	"80"
"27165"	"10"	"100"
"27166"	"698"	"100"
"27167"	"729"	"90"
"27168"	"449"	"60"
"27169"	"449"	"100"
"27170"	"792"	"100"
"27171"	"39"	"90"
"27172"	"590"	"90"
"27173"	"194"	"60"
"27174"	"283"	"100"
"27175"	"306"	"60"
"27177"	"663"	"60"
"27178"	"719"	"60"
"27179"	"698"	"100"
"27180"	"537"	"100"
"27181"	"424"	"90"
"27182"	"152"	"100"
"27183"	"303"	"60"
"27184"	"671"	"90"
"27185"	"734"	"90"
"27186"	"621"	"100"
"27187"	"728"	"90"
"27188"	"601"	"100"
"27189"	"601"	"100"
"27190"	"10"	"100"
"27191"	"556"	"100"
"27192"	"558"	"100"
"27193"	"37"	"90"
"27194"	"652"	"90"
"27195"	"151"	"60"
"27196"	"158"	"60"
"27197"	"750"	"100"
"27198"	"844"	"100"
"27199"	"152"	"90"
"27201"	"588"	"100"
"27202"	"663"	"60"
"27203"	"580"	"60"
"27204"	"554"	"90"
"27205"	"651"	"100"
"27206"	"734"	"60"
"27207"	"750"	"90"
"27208"	"303"	"90"
"27209"	"792"	"90"
"27210"	"113"	"60"
"27211"	"738"	"100"
"27212"	"113"	"100"
"27213"	"644"	"100"
"27214"	"55"	"90"
"27215"	"552"	"100"
"27216"	"37"	"90"
"27217"	"37"	"90"
"27218"	"825"	"100"
"27219"	"734"	"90"
"27220"	"165"	"100"
"27221"	"710"	"100"
"27222"	"222"	"100"
"27223"	"495"	"100"
"27224"	"508"	"100"
"27225"	"679"	"90"
"27226"	"113"	"100"
"27227"	"61"	"90"
"27228"	"734"	"90"
"27229"	"401"	"100"
"27230"	"761"	"100"
"27231"	"78"	"100"
