"source"	"target"	"type"	"subtype"
"27215"	"42917"	"1"	""
"42917"	"42925"	"1"	""
"42925"	"42928"	"5"	""
"27215"	"42930"	"1"	""
"27525"	"41267"	"5"	""
"27525"	"41117"	"2"	""
"27525"	"40723"	"1"	""
"27525"	"33949"	"1"	""
"27705"	"41442"	"5"	""
"27705"	"33959"	"2"	""
"41442"	"33960"	"1"	""
"41442"	"41441"	"1"	""
"41442"	"42631"	"6"	""
"42554"	"47971"	"2"	""
"47969"	"47970"	"2"	""
"28011"	"33984"	"5"	""
"33984"	"33986"	"2"	""
"28011"	"33985"	"2"	""
"28011"	"39439"	"1"	""
"26537"	"35912"	"5"	""
"26566"	"47975"	"1"	""
"26566"	"44348"	"1"	""
"26566"	"30350"	"1"	""
"47976"	"42552"	"1"	""
"28453"	"34004"	"4"	""
"28453"	"41397"	"4"	""
"34004"	"34005"	"1"	""
"34005"	"34006"	"5"	""
"28572"	"42977"	"1"	""
"28580"	"39260"	"5"	""
"39260"	"39261"	"4"	""
"28580"	"33764"	"4"	""
"33764"	"39300"	"2"	""
"33764"	"34011"	"2"	""
"28580"	"39262"	"2"	""
"28580"	"34012"	"1"	""
"28580"	"39264"	"1"	"2"
"28580"	"39534"	"1"	""
"33764"	"39533"	"1"	"1"
"33764"	"39532"	"2"	""
"39532"	"39263"	"5"	""
"39532"	"40569"	"4"	""
"27729"	"39303"	"1"	""
"33104"	"40371"	"1"	""
"33117"	"40374"	"1"	""
"33119"	"40376"	"1"	""
"33982"	"47333"	"5"	""
"28834"	"42593"	"1"	"4"
"28834"	"42595"	"1"	"4"
"28649"	"45555"	"5"	""
"28649"	"30045"	"5"	""
"31959"	"34827"	"1"	""
"28098"	"38911"	"5"	""
"28098"	"39423"	"5"	""
"28859"	"42389"	"5"	""
"42389"	"33839"	"2"	""
"28859"	"33838"	"5"	""
"28859"	"42391"	"4"	""
"42642"	"44686"	"4"	""
"38323"	"42400"	"2"	""
"41982"	"47989"	"4"	""
"32799"	"42980"	"5"	""
"33157"	"39515"	"1"	"4"
"28098"	"39514"	"1"	"4"
"28098"	"39413"	"1"	"4"
"26824"	"40210"	"1"	"2"
"39514"	"39511"	"2"	""
"26968"	"30965"	"4"	""
"26968"	"39228"	"2"	""
"26968"	"30966"	"1"	"4"
"27128"	"30003"	"1"	""
"27128"	"47991"	"1"	""
"27128"	"33981"	"5"	""
"27546"	"29942"	"1"	""
"29811"	"47994"	"1"	""
"35129"	"35130"	"1"	""
"35129"	"47995"	"1"	""
"35130"	"47985"	"1"	""
"35129"	"29811"	"1"	""
