"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"26268"	"3"	"47207"	""	","	"0"	""	""	"3"
"26268"	"457"	"26267"	""	","	"0"	""	""	"1"
"26269"	"28"	"31547"	"allergique"	","	"0"	""	""	"1"
"26269"	"104"	"31548"	"allergique"	","	"0"	""	""	"1"
"26269"	"111"	"33624"	""	","	"0"	""	""	"1"
"26269"	"111"	"33625"	""	","	"0"	""	""	"2"
"26269"	"170"	"50447"	""	","	"0"	"d’une ~ à N=$2"	""	"1"
"26272"	"21"	"33628"	""	","	"0"	""	""	"1"
"26272"	"330"	"39662"	""	","	"0"	""	""	"1"
"26272"	"10"	"27414"	""	","	"0"	"ART ~"	""	"1"
"26273"	"8"	"40085"	""	","	"0"	""	""	"1"
"26274"	"351"	"31560"	"allusif"	","	"0"	""	""	"1"
"26274"	"29"	"35274"	""	","	"0"	""	""	"1"
"26275"	"2"	"28165"	""	","	"0"	""	""	"1"
"26276"	"28"	"31561"	"alphabétique"	","	"0"	""	""	"1"
"26276"	"29"	"31562"	""	","	"0"	""	""	"1"
"26276"	"74"	"28113"	""	","	"0"	""	""	"1"
"26278"	"3"	"27805"	""	","	"0"	""	""	"1"
"26279"	"63"	"35338"	""	","	"0"	""	""	"1"
"26279"	"20"	"49769"	""	","	"0"	""	""	"1"
"26280"	"387"	"31565"	"amatrice"	","	"0"	""	""	"1"
"26280"	"104"	"31566"	""	","	"0"	""	""	"1"
"26280"	"3"	"54752"	""	","	"0"	""	""	"1"
"26280"	"3"	"40829"	""	";"	"0"	"N=$2"	""	"2"
"26281"	"3"	"49082"	""	","	"0"	""	""	"1"
"26282"	"366"	"31531"	""	","	"0"	""	""	"1"
"26283"	"31"	"31536"	"ambitieuse"	","	"0"	""	""	"1"
"26283"	"31"	"31534"	"ambitieux"	","	"0"	""	""	"2"
"26283"	"104"	"31533"	"ambitieux"	","	"0"	""	""	"1"
"26284"	"30"	"31540"	""	","	"0"	""	""	"1"
"26284"	"30"	"31538"	""	","	"0"	""	""	"2"
"26285"	"16"	"38285"	""	","	"0"	""	""	"1"
"26285"	"3"	"38459"	""	","	"0"	""	""	"1"
"26285"	"3"	"30274"	""	";"	"0"	""	""	"2"
"26286"	"21"	"31541"	"amélioration"	","	"0"	""	""	"1"
"26286"	"59"	"32255"	""	","	"0"	""	""	"1"
"26286"	"111"	"31546"	""	","	"0"	""	""	"1"
"26287"	"3"	"27270"	""	","	"0"	""	""	"1"
"26288"	"366"	"31251"	""	","	"0"	""	""	"1"
"26289"	"21"	"46903"	""	","	"0"	""	""	"1"
"26289"	"3"	"53172"	""	","	"0"	""	""	"1"
"26290"	"3"	"49732"	""	","	"0"	""	""	"1"
"26291"	"13"	"27309"	""	","	"0"	""	""	"1"
"26291"	"387"	"31559"	""	","	"0"	""	""	"1"
"26291"	"28"	"32470"	""	","	"0"	""	""	"1"
"26291"	"126"	"38797"	""	","	"0"	""	"antépos"	"1"
"26291"	"126"	"38513"	""	","	"0"	""	"antépos"	"2"
"26291"	"126"	"38724"	""	","	"0"	""	"antépos"	"3"
"26291"	"126"	"38424"	""	"<"	"0"	""	"antépos"	"4"
"26291"	"126"	"38420"	""	";"	"0"	""	"postpos"	"5"
"26291"	"126"	"38414"	""	","	"0"	""	"postpos"	"6"
"26291"	"3"	"33209"	""	","	"0"	""	""	"1"
"26291"	"3"	"38448"	""	","	"0"	""	""	"2"
"26291"	"3"	"32660"	""	";"	"0"	""	""	"3"
