"id"	"propform"	"tildevalue"	"%"	"actantslist"
"26466"	"$1 qui est ~"	""	"100"	"($1=X)"
"26467"	"$1 ~"	""	"100"	"($1=X)"
"26468"	"~ de $1"	""	"100"	"($1=X)"
"26469"	"~ de $1"	""	"100"	"($1=X)"
"26470"	"$1 est ~ à l’endroit $2"	""	"100"	"($1=X,$2=Y)"
"26471"	"~ pratiqué par les $1"	""	"100"	"($1=X)"
"26473"	"~ utilisé par $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26474"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26475"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26476"	"$1 ~ $2"	"bat"	"100"	"($1=X,$2=Y)"
"26477"	"$1 qui est ~"	""	"100"	"($1=X)"
"26478"	"$1 ~ (de$2) avec $3"	" bavarde "	"100"	"($1=X,$2=Y,$3=Z)"
"26479"	"$1 qui est ~"	""	"100"	"($1=X)"
"26480"	"$1 ~"	""	"100"	"($1=X)"
"26481"	"~ de $1"	""	"100"	"($1=X)"
"26482"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26483"	"~ de $1"	""	"100"	"($1=X)"
"26484"	"$1 qui est ~"	""	"100"	"($1=X)"
"26485"	"$1 qui est ~"	""	"100"	"($1=X)"
"26487"	"$1 qui est ~"	""	"100"	"($1=X)"
"26488"	"~"	""	"100"	"()"
"26489"	"~ de $1"	""	"100"	"($1=X)"
"26491"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26492"	"~ utilisée par $1"	""	"100"	"($1=X)"
"26493"	"$1 ~"	""	"100"	"($1=X)"
"26496"	"~, $1"	""	"100"	"($1=X)"
"26497"	"$1 ~"	""	"100"	"($1=X)"
"26498"	"~ destinée à être consommée par $1"	""	"100"	"($1=X)"
"26499"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26502"	"~ destiné à être consommé par $1"	""	"100"	"($1=X)"
"26503"	"! ~ de $1 à $2 sur $3"	""	"60"	"($1=X,$2=Y,$3=Z)"
"26504"	"$1 qui est ~"	""	"100"	"($1=X)"
"26505"	"~ racontée par $1 à $2"	""	"100"	"($1=X,$2=Y)"
