"id"	"entry"	"lexnum"	"status"	"%"
"26495"	"26497"	""	"2"	"100"
"26496"	"26498"	""	"2"	"100"
"26497"	"26499"	"1"	"2"	"100"
"26498"	"26500"	"a"	"2"	"100"
"26499"	"26501"	"I"	"2"	"100"
"26502"	"26504"	"2"	"2"	"100"
"26503"	"26505"	""	"2"	"100"
"26504"	"26506"	""	"2"	"100"
"26505"	"26507"	"1"	"2"	"100"
"26506"	"26508"	"I.1a"	"2"	"100"
"26507"	"26509"	""	"2"	"100"
"26508"	"26510"	""	"2"	"100"
"26509"	"26511"	"I.1"	"2"	"100"
"26510"	"26512"	"a"	"2"	"100"
"26511"	"26513"	"I"	"2"	"100"
"26512"	"26514"	"II.a"	"2"	"100"
"26513"	"26515"	"I.a"	"2"	"100"
"26514"	"26516"	"I.1"	"2"	"100"
"26515"	"26517"	"I.1a"	"2"	"100"
"26516"	"26518"	"I.1"	"2"	"100"
"26517"	"26519"	"I"	"2"	"100"
"26518"	"26520"	"I"	"2"	"100"
"26519"	"26521"	"I.a"	"2"	"100"
"26520"	"26522"	"I.a"	"2"	"100"
"26521"	"26523"	""	"2"	"100"
"26522"	"26524"	"I.1"	"2"	"100"
"26523"	"26525"	"I.1a"	"2"	"100"
"26524"	"26526"	""	"2"	"100"
"26525"	"26527"	""	"2"	"100"
"26526"	"26528"	"1"	"2"	"100"
"26527"	"26529"	""	"2"	"100"
"26528"	"26530"	""	"2"	"100"
"26529"	"26531"	"I"	"1"	"100"
"26530"	"26532"	""	"2"	"100"
"26531"	"26533"	"1"	"2"	"100"
"26532"	"26534"	"I.1"	"2"	"100"
"26533"	"26535"	"I.3"	"2"	"100"
"26534"	"26536"	""	"2"	"100"
"26535"	"26537"	"I.1a"	"2"	"100"
"26536"	"26538"	""	"2"	"100"
"26537"	"26539"	"I.1"	"1"	"100"
"26538"	"26540"	"I.2"	"2"	"100"
"26539"	"26541"	"I.1a"	"2"	"100"
"26540"	"26542"	"I"	"2"	"100"
"26541"	"26543"	""	"2"	"100"
"26542"	"26544"	"I.1"	"2"	"100"
"26543"	"26545"	""	"2"	"100"
"26544"	"26546"	""	"2"	"100"
"26545"	"26547"	"1"	"2"	"100"
"26546"	"26548"	"I"	"2"	"100"
"26547"	"26549"	"I.1"	"2"	"100"
"26548"	"26550"	""	"2"	"100"
"26549"	"26551"	"II"	"2"	"100"
"26550"	"26552"	"I.2"	"2"	"100"
"26551"	"26553"	"I.2"	"2"	"100"
"26552"	"26554"	"I.1"	"2"	"100"
"26553"	"26555"	"1a"	"2"	"100"
"26554"	"26556"	""	"2"	"100"
"26555"	"26557"	"III.1"	"2"	"100"
"26556"	"26558"	""	"2"	"100"
"26557"	"26559"	""	"2"	"100"
"26558"	"26560"	""	"2"	"100"
"26559"	"26561"	""	"2"	"100"
"26560"	"26562"	""	"2"	"100"
"26561"	"26563"	"I"	"2"	"100"
"26562"	"26564"	""	"2"	"100"
"26563"	"26565"	"I.1a"	"2"	"100"
"26564"	"26566"	""	"2"	"100"
"26565"	"26567"	"II"	"2"	"100"
"26566"	"26568"	"I"	"2"	"100"
"26567"	"26569"	"I"	"2"	"100"
"26568"	"26570"	"I"	"2"	"100"
"26569"	"26571"	""	"2"	"100"
"26570"	"26572"	"I.1"	"2"	"100"
"26571"	"26573"	"I"	"2"	"100"
"26572"	"26574"	"I.1"	"2"	"100"
"26573"	"26575"	""	"2"	"100"
"26574"	"26576"	""	"2"	"100"
"26575"	"26577"	""	"2"	"100"
"26576"	"26578"	"I"	"2"	"100"
"26577"	"26579"	""	"2"	"100"
"26578"	"26580"	"I.1"	"2"	"100"
"26579"	"26581"	""	"2"	"100"
"26580"	"26582"	"I.1"	"2"	"100"
"26581"	"26583"	"II.a"	"2"	"100"
"26582"	"26584"	""	"2"	"100"
"26583"	"26585"	"I"	"2"	"100"
"26584"	"26586"	""	"2"	"100"
"26585"	"26587"	""	"2"	"100"
"26586"	"26588"	""	"2"	"100"
"26587"	"26589"	""	"2"	"100"
"26588"	"26590"	"I.2"	"2"	"100"
"26589"	"26591"	"I"	"2"	"100"
"26590"	"26592"	""	"1"	"100"
"26591"	"26593"	"I"	"2"	"100"
"26592"	"26594"	"II"	"2"	"100"
"26593"	"26595"	"I"	"2"	"100"
"26594"	"26596"	"II.a"	"2"	"100"
"26595"	"26597"	"1"	"2"	"100"
"26596"	"26598"	"I"	"2"	"100"
"26597"	"26599"	""	"2"	"100"
"26598"	"26600"	""	"2"	"100"
"26599"	"26601"	"I.a"	"2"	"100"
"26600"	"26602"	""	"2"	"100"
"26601"	"26603"	""	"2"	"100"
"26602"	"26604"	""	"2"	"100"
"26603"	"26605"	"I"	"2"	"100"
"26604"	"26606"	"I"	"2"	"100"
"26605"	"26607"	""	"2"	"100"
"26606"	"26608"	"I"	"2"	"100"
"26607"	"26609"	""	"2"	"100"
"26608"	"26610"	"I"	"2"	"100"
"26609"	"26611"	"I.1"	"2"	"100"
"26610"	"26612"	"I"	"2"	"100"
"26611"	"26613"	""	"2"	"100"
"26612"	"26614"	"I"	"2"	"100"
"26613"	"26615"	"I"	"2"	"100"
"26614"	"26616"	""	"2"	"100"
"26615"	"26617"	""	"2"	"100"
"26616"	"26618"	""	"2"	"100"
"26617"	"26619"	""	"2"	"100"
"26618"	"26620"	""	"2"	"100"
"26619"	"26621"	""	"2"	"100"
"26620"	"26622"	"I.2"	"2"	"100"
"26621"	"26623"	"I.2"	"2"	"100"
"26622"	"26624"	""	"2"	"100"
"26623"	"26625"	"I"	"2"	"100"
"26624"	"26626"	"I.a"	"2"	"100"
"26625"	"26627"	""	"2"	"100"
"26626"	"26628"	""	"2"	"100"
"26627"	"26629"	""	"2"	"100"
"26628"	"26630"	"I.1"	"2"	"100"
"26629"	"26631"	"1"	"2"	"100"
"26630"	"26632"	""	"2"	"100"
"26631"	"26633"	"I"	"2"	"100"
"26632"	"26634"	""	"2"	"100"
"26633"	"26635"	"I"	"2"	"100"
"26634"	"26636"	"1"	"2"	"100"
"26635"	"26637"	""	"2"	"100"
"26636"	"26638"	""	"2"	"100"
"26637"	"26639"	""	"2"	"100"
"26638"	"26640"	""	"2"	"100"
"26639"	"26641"	""	"2"	"100"
"26640"	"26642"	"1"	"2"	"100"
"26641"	"26643"	""	"1"	"100"
"26642"	"26644"	"I.1"	"2"	"100"
"26643"	"26645"	"2"	"2"	"100"
